Date,Affected pages
2026-03-03,348
2026-03-04,668
2026-03-05,668
2026-03-06,668
2026-03-07,668
2026-03-08,775
2026-03-09,775
2026-03-10,775
2026-03-11,963
2026-03-12,963
2026-03-13,963
2026-03-14,963
2026-03-15,963
2026-03-16,1023
2026-03-17,1023
2026-03-18,1122
2026-03-19,1122
2026-03-20,1122
2026-03-21,1122
2026-03-22,1193
2026-03-23,1193
2026-03-24,1193
2026-03-25,1251
2026-03-26,1251
2026-03-27,1251
2026-03-28,1251
2026-03-29,1323
2026-03-30,1323
2026-03-31,1323
2026-04-01,1366
2026-04-02,1366
2026-04-03,1366
2026-04-04,1366
2026-04-05,1408
2026-04-06,1408
2026-04-07,1423
2026-04-08,1423
2026-04-09,1423
2026-04-10,1423
2026-04-11,1427
2026-04-12,1427
2026-04-13,1427
2026-04-14,1436
2026-04-15,1436
2026-04-16,1436
2026-04-17,1436
2026-04-18,1448
2026-04-19,1448
2026-04-20,1448
2026-04-21,1474
2026-04-22,1474
2026-04-23,1474
2026-04-24,1474
2026-04-25,1487
2026-04-26,1487
2026-04-27,1487
2026-04-28,1468
2026-04-29,1468
2026-04-30,1468
2026-05-01,1468
2026-05-02,1468
2026-05-03,1468
2026-05-04,1468
2026-05-05,1463
2026-05-06,1463
2026-05-07,1463
2026-05-08,1463
2026-05-09,1455
2026-05-10,1455
2026-05-11,1455
2026-05-12,1451
2026-05-13,1451
2026-05-14,1451
2026-05-15,1451
