name,slug,description,about_description,tagline,price,images,seo_title,seo_description,is_featured,is_hero,about_significance_text,about_target_audience_text,why_perform_section_title,why_perform_cards,ritual_process_section_title,ritual_steps,ritual_badges,blessings_section_title,blessings_cards,timing_section_title,timing_occasions_list,timing_muhurat_text,timing_subtitle,hero_badge_text,hero_glass_badge_label,hero_glass_badge_value,about_heading,about_subheading,main_about_title,about_significance_label,about_target_audience_label,footer_title,footer_description,tags,benefits,theme_color
बंधा  व्यापार  खोलने  हेतु  प्रयोग,bandha-vyapar-kholne-hetu-prayog,शाबर  - सामग्री  - हवन  सामग्री  16  उपचार  पुजन    स्थान  -  शिवालय    समय  - नवरात्रि  / विशेष  पर्व / शुभ  नक्षत्र    अवधि  - 11 दिन    जप  - 1100 नित्य    तंत्र  का प्रभाव  नष्ट  करने  हेतु,शाबर  - सामग्री  - हवन  सामग्री  16  उपचार  पुजन    स्थान  -  शिवालय    समय  - नवरात्रि  / विशेष  पर्व / शुभ  नक्षत्र    अवधि  - 11 दिन    जप  - 1100 नित्य    तंत्र  का प्रभाव  नष्ट  करने  हेतु,Experience the divine blessings of बंधा  व्यापार  खोलने  हेतु  प्रयोग,26000,"{""http://mantrapuja.com/webroot/admin/upload/product/13-Feb-2018_product_thumb_img_711741891.png""}",बंधा  व्यापार  खोलने  हेतु  प्रयोग,शाबर  - सामग्री  - हवन  सामग्री  16  उपचार  पुजन    स्थान  -  शिवालय    समय  - नवरात्रि  / विशेष  पर्व / शुभ  नक्षत्र    अवधि  - 11 दिन    जप  - 1100 ,FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
स्वर्णाकर्षण   भैरव  मंत्र  प्रयोग,svarnaakarshan-bhairav-mantr-prayoga,"<p>शाबर - (राजसी प्रयोग )  (यंत्र /चित्र )  सामग्री - भैरव विषयक हवन समग्री   माला - रुद्राक्ष   आसन - ऊनी वसम - काले स्वर्ण मंदीर समय - रात्री   अवधि - 11 दिवस   जनसख्या - 1 ,00 ,000   हवन - दक्षांग</p>","<p>शाबर - (राजसी प्रयोग )  (यंत्र /चित्र )  सामग्री - भैरव विषयक हवन समग्री   माला - रुद्राक्ष   आसन - ऊनी वसम - काले स्वर्ण मंदीर समय - रात्री   अवधि - 11 दिवस   जनसख्या - 1 ,00 ,000   हवन - दक्षांग</p>",Experience the divine blessings of स्वर्णाकर्षण   भैरव  मंत्र  प्रयोग,51000,"{""http://mantrapuja.com/webroot/admin/upload/product/10-May-2018_product_thumb_img_1891965227.jpg""}",स्वर्णाकर्षण   भैरव  मंत्र  प्रयोग,<p>शाबर - (राजसी प्रयोग )  (यंत्र /चित्र )  सामग्री - भैरव विषयक हवन समग्री   माला - रुद्राक्ष   आसन - ऊनी वसम - काले स्वर्ण मंदीर समय - रात्री   अवधि,FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
शाबर लींग प्रयोग,shaabar-leeng-prayoga,"व्यापार बन्ध निवारण प्रयोग  सामग्री - गुलाल, गोरोचन, छारछबीला और कपूर काचरी ।  समय - रात्री  आसन - कम्बल  दिषा - षुक/अनुकुल  जपसंख्या - प्रयोग समय 21 बार ( जप काल 100000)  अवधि - पांच दिवस","व्यापार बन्ध निवारण प्रयोग  सामग्री - गुलाल, गोरोचन, छारछबीला और कपूर काचरी ।  समय - रात्री  आसन - कम्बल  दिषा - षुक/अनुकुल  जपसंख्या - प्रयोग समय 21 बार ( जप काल 100000)  अवधि - पांच दिवस",Experience the divine blessings of शाबर लींग प्रयोग,31000,"{""http://mantrapuja.com/webroot/admin/upload/product/13-Feb-2018_product_thumb_img_1709096909.png""}",शाबर लींग प्रयोग,"व्यापार बन्ध निवारण प्रयोग  सामग्री - गुलाल, गोरोचन, छारछबीला और कपूर काचरी ।  समय - रात्री  आसन - कम्बल  दिषा - षुक/अनुकुल  जपसंख्या - प्रयोग समय 21 ",FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
व्यापार बाधा नाशक प्रयोग,vyaapaar-baadha-naashak-prayog,"<p>सामग्री - सिमार सिंगी, सौ ग्राम सिंदूर, लोभान, तेल, दीपक, धूप इत्यादी   समय - दिन कोई भी   आसन - सफेद सूती   माला - हकीक   दिशा - पश्चिम   जप संख्या - 10,000   अवधि - 1 दिन   मंग - शाबर   दक्षिणा 31,000   ब्राह्मण 1 </p>","<p>सामग्री - सिमार सिंगी, सौ ग्राम सिंदूर, लोभान, तेल, दीपक, धूप इत्यादी   समय - दिन कोई भी   आसन - सफेद सूती   माला - हकीक   दिशा - पश्चिम   जप संख्या - 10,000   अवधि - 1 दिन   मंग - शाबर   दक्षिणा 31,000   ब्राह्मण 1 </p>",Experience the divine blessings of व्यापार बाधा नाशक प्रयोग,31000,"{""http://mantrapuja.com/webroot/admin/upload/product/13-Feb-2018_product_thumb_img_824370154.png""}",व्यापार बाधा नाशक प्रयोग,"<p>सामग्री - सिमार सिंगी, सौ ग्राम सिंदूर, लोभान, तेल, दीपक, धूप इत्यादी   समय - दिन कोई भी   आसन - सफेद सूती   माला - हकीक   दिशा - पश्चिम   जप संख्य",FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
गणपति प्रयोग,ganapati-prayog1,"<p>मंत्र - शाबर  प्रतिमा (मदगज पन्ना)  दक्षिणा 5 दिन 31,000, 11 दिन 41,000, 21 दिन 51000  सामग्री - गणपति पूजन सामग्री  माला - मूंगे/रक्त चंदन  आसन/वस्त्र - लाल ऊनी/सूती  दिषा - पूर्व  जप संख्या - सवा लाख  व्यापारी वद्धि व अरिष्ट निवारण  ब्राह्मण 1  अवधि - 11 दिन</p>","<p>मंत्र - शाबर  प्रतिमा (मदगज पन्ना)  दक्षिणा 5 दिन 31,000, 11 दिन 41,000, 21 दिन 51000  सामग्री - गणपति पूजन सामग्री  माला - मूंगे/रक्त चंदन  आसन/वस्त्र - लाल ऊनी/सूती  दिषा - पूर्व  जप संख्या - सवा लाख  व्यापारी वद्धि व अरिष्ट निवारण  ब्राह्मण 1  अवधि - 11 दिन</p>",Experience the divine blessings of गणपति प्रयोग,41000,"{""http://mantrapuja.com/webroot/admin/upload/product/10-May-2018_product_thumb_img_1730464757.jpg""}",गणपति प्रयोग,"<p>मंत्र - शाबर  प्रतिमा (मदगज पन्ना)  दक्षिणा 5 दिन 31,000, 11 दिन 41,000, 21 दिन 51000  सामग्री - गणपति पूजन सामग्री  माला - मूंगे/रक्त चंदन  आसन/वस",FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
धनद लक्ष्मी प्रयोग,dhanad-lakshmee-prayog,<p>शाबर - मंत्र  दक्षिणा 38000 ब्राह्मण 1  सामग्री - लाल (समस्त पूजन 16 उपचार)  माला - लाल - मुंगो /रक्त चंदन  आसन - लाल ऊनी/सूती  दिशा - शुक्र   जप संख्या - 1008 नित्य  अवधि - 22 दिवस  हवन - नित्य  लक्ष्मी कृपा/सभा धन प्राप्त/कार्य सिद्धी/धन प्राप्ती/समृद्धि आदी</p>,<p>शाबर - मंत्र  दक्षिणा 38000 ब्राह्मण 1  सामग्री - लाल (समस्त पूजन 16 उपचार)  माला - लाल - मुंगो /रक्त चंदन  आसन - लाल ऊनी/सूती  दिशा - शुक्र   जप संख्या - 1008 नित्य  अवधि - 22 दिवस  हवन - नित्य  लक्ष्मी कृपा/सभा धन प्राप्त/कार्य सिद्धी/धन प्राप्ती/समृद्धि आदी</p>,Experience the divine blessings of धनद लक्ष्मी प्रयोग,38000,"{""http://mantrapuja.com/webroot/admin/upload/product/11-May-2018_product_thumb_img_873580422.jpg""}",धनद लक्ष्मी प्रयोग,<p>शाबर - मंत्र  दक्षिणा 38000 ब्राह्मण 1  सामग्री - लाल (समस्त पूजन 16 उपचार)  माला - लाल - मुंगो /रक्त चंदन  आसन - लाल ऊनी/सूती  दिशा - शुक्र   जप स,FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
व्यापार वद्धि प्रयोग,vyaapaar-vrddhi-prayog,"<p>दक्षिणा 34000 ब्राह्मण 1  सामग्री - अष्ट गंधक, नगौरी के फूल, हवन सामग्री  माला - सडाल  आसन - कंबल/ऊनी  जप संख्या - 11 हजार प्रतिदिन  दिषा - पूर्व  समय - सायंकाल  तिथी - प्रदोष  अवधि - 7 प्रदोष (एक माह में 2 प्रदोष ब्रत होने है)</p>","<p>दक्षिणा 34000 ब्राह्मण 1  सामग्री - अष्ट गंधक, नगौरी के फूल, हवन सामग्री  माला - सडाल  आसन - कंबल/ऊनी  जप संख्या - 11 हजार प्रतिदिन  दिषा - पूर्व  समय - सायंकाल  तिथी - प्रदोष  अवधि - 7 प्रदोष (एक माह में 2 प्रदोष ब्रत होने है)</p>",Experience the divine blessings of व्यापार वद्धि प्रयोग,31000,"{""http://mantrapuja.com/webroot/admin/upload/product/09-May-2018_product_thumb_img_1880929173.jpeg""}",व्यापार वद्धि प्रयोग,"<p>दक्षिणा 34000 ब्राह्मण 1  सामग्री - अष्ट गंधक, नगौरी के फूल, हवन सामग्री  माला - सडाल  आसन - कंबल/ऊनी  जप संख्या - 11 हजार प्रतिदिन  दिषा - पूर्व  ",FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
व्यापार वद्धि (बिक्री बढ़ाने) प्रयोग,vyaapaar-vaddhi-bikree-badhaane-prayoga,<p>दक्षिणा 31000 ब्राह्मण 1  सामग्री - पूजन सामान/हवन सामग्री  माला - सडाल  आसन - काला ऊनी  अवधि - 3 रविवार  जप संख्या - 11000/रविवार  विक्री बढाना/बंद काम चालू करवाना आदि</p>,<p>दक्षिणा 31000 ब्राह्मण 1  सामग्री - पूजन सामान/हवन सामग्री  माला - सडाल  आसन - काला ऊनी  अवधि - 3 रविवार  जप संख्या - 11000/रविवार  विक्री बढाना/बंद काम चालू करवाना आदि</p>,Experience the divine blessings of व्यापार वद्धि (बिक्री बढ़ाने) प्रयोग,31000,"{""http://mantrapuja.com/webroot/admin/upload/product/09-May-2018_product_thumb_img_878718561.jpeg""}",व्यापार वद्धि (बिक्री बढ़ाने) प्रयोग,<p>दक्षिणा 31000 ब्राह्मण 1  सामग्री - पूजन सामान/हवन सामग्री  माला - सडाल  आसन - काला ऊनी  अवधि - 3 रविवार  जप संख्या - 11000/रविवार  विक्री बढाना/बं,FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
व्यापार वद्धि (लक्ष्मी मंत्र) प्रयोग,vyaapaar-vaddhi-lakshmee-mantr-prayoga,दक्षिणा 27000 ब्राह्मण 1  प्रतिमा - लक्ष्मी जी धातू की  सामग्री - पूजन सामान/हवन सामग्री  माला - कमल गजरे  आसन - लाल  समय - सबर  अवधि - 1दिन  जप संख्या - 31000  व्यापार का दैनिक कार्य सिद्धी करने हेतु/व्यापर वृद्धि धन प्राप्त,दक्षिणा 27000 ब्राह्मण 1  प्रतिमा - लक्ष्मी जी धातू की  सामग्री - पूजन सामान/हवन सामग्री  माला - कमल गजरे  आसन - लाल  समय - सबर  अवधि - 1दिन  जप संख्या - 31000  व्यापार का दैनिक कार्य सिद्धी करने हेतु/व्यापर वृद्धि धन प्राप्त,Experience the divine blessings of व्यापार वद्धि (लक्ष्मी मंत्र) प्रयोग,27000,"{""http://mantrapuja.com/webroot/admin/upload/product/13-Feb-2018_product_thumb_img_761994142.png""}",व्यापार वद्धि (लक्ष्मी मंत्र) प्रयोग,दक्षिणा 27000 ब्राह्मण 1  प्रतिमा - लक्ष्मी जी धातू की  सामग्री - पूजन सामान/हवन सामग्री  माला - कमल गजरे  आसन - लाल  समय - सबर  अवधि - 1दिन  जप संख्य,FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
लक्ष्मी प्राप्ती प्रयोग,lakshmee-praaptee-prayoga,दक्षिणा 48000 ब्राह्मण 2  प्रमिा - चाॅदी लक्ष्मी जी  शाबर मंत्र  सामग्री - पूजन की लाल  माला - कमल गट्टे  हवन - नित्य कमल गटृटे  अवधि - 5 दिन  जप संख्या - 100000  धन प्राप्ती/लोन/ऋण आदि प्राप्ती,दक्षिणा 48000 ब्राह्मण 2  प्रमिा - चाॅदी लक्ष्मी जी  शाबर मंत्र  सामग्री - पूजन की लाल  माला - कमल गट्टे  हवन - नित्य कमल गटृटे  अवधि - 5 दिन  जप संख्या - 100000  धन प्राप्ती/लोन/ऋण आदि प्राप्ती,Experience the divine blessings of लक्ष्मी प्राप्ती प्रयोग,48000,"{""http://mantrapuja.com/webroot/admin/upload/product/13-Feb-2018_product_thumb_img_1412970218.png""}",लक्ष्मी प्राप्ती प्रयोग,दक्षिणा 48000 ब्राह्मण 2  प्रमिा - चाॅदी लक्ष्मी जी  शाबर मंत्र  सामग्री - पूजन की लाल  माला - कमल गट्टे  हवन - नित्य कमल गटृटे  अवधि - 5 दिन  जप संख्,FALSE,FALSE,"This sacred ritual holds immense spiritual significance, bringing peace, prosperity, and divine grace into your life.","Ideal for anyone seeking spiritual growth, overcoming obstacles, or inviting positive energy and success.",Why Perform this Puja?,"[{""title"":""Divine Blessings"",""description"":""Receive profound spiritual upliftment and divine grace."",""icon"":""🌟""},{""title"":""Obstacle Removal"",""description"":""Clear negativity and hurdles from your path to success."",""icon"":""🛡️""}]",Authentic Ritual Process,"[{""step"":""01"",""title"":""Sankalp & Purification"",""description"":""Taking the sacred vow and purifying the surroundings.""},{""step"":""02"",""title"":""Main Puja & Mantra Japa"",""description"":""Chanting of powerful mantras and offering prayers.""},{""step"":""03"",""title"":""Aarti & Blessings"",""description"":""Concluding with the divine Aarti and receiving blessings.""}]","{""Vedic Mantras"",""Authentic Samagri"",""Dedicated Priests""}",Divine Benefits,"[{""title"":""Peace & Harmony"",""description"":""Invites tranquility and joy into your home."",""icon"":""peace""},{""title"":""Success & Growth"",""description"":""Opens new pathways for personal and professional growth."",""icon"":""🌟""}]",Best Time,"{""Auspicious Days"",""Festivals"",""Birthdays""}",As per Panchang and Astrological Guidance.,Shubh Muhurat,Vedic Puja Ritual,Performed By,Certified Vedic Acharyas,Ancient Wisdom,For Modern Life,Spiritual Significance,Spiritual Significance,Who Should Perform?,Ready to Invite Divine Blessings?,Experience the sacred peace of ancient rituals. Our Vedic experts are here to help you invite prosperity into your home.,"{""Peace"",""Prosperity"",""Blessings""}","{""Removes Obstacles"",""Brings Wealth"",""Spiritual Growth""}",saffron
